id,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
SP3648,6,48,No,7,4,38.0
SP6807,4,76,No,4,8,58.0
SP2887,2,56,No,6,0,33.0
SP532,7,94,No,4,2,81.0
SP517,4,97,No,9,9,83.0
SP8088,6,83,Yes,4,6,69.0
SP7064,1,51,No,6,1,24.0
SP9426,3,63,Yes,6,5,43.0
SP4871,6,86,Yes,4,2,73.0
SP1417,2,81,No,7,4,58.0
SP3241,6,80,No,8,4,71.0
SP1726,1,46,No,8,5,22.0
SP6844,6,56,No,5,3,45.0
SP1119,3,85,Yes,9,8,71.0
SP5014,2,80,Yes,9,1,61.0
SP4675,6,86,No,9,0,72.0
SP6451,1,75,Yes,4,4,46.0
SP5722,2,44,No,6,3,17.0
SP4575,7,43,Yes,9,2,32.0
SP8209,9,83,Yes,6,9,85.0
SP9111,7,61,No,7,9,55.0
SP1000,6,75,No,8,4,59.0
SP3987,6,64,Yes,4,5,49.0
SP8458,4,43,No,8,5,27.0
SP5150,1,57,No,8,8,32.0
SP5860,4,94,Yes,4,3,79.0
SP3886,5,44,Yes,5,3,27.0
SP3983,5,48,No,6,4,33.0
SP5087,8,88,Yes,5,9,84.0
SP1886,8,86,No,4,4,79.0
SP8815,8,40,No,8,3,34.0
SP2283,4,46,Yes,5,4,27.0
SP6943,2,92,Yes,7,4,70.0
SP2623,1,87,No,8,5,58.0
SP5801,9,40,No,9,8,34.0
SP2537,5,49,No,9,9,35.0
SP1887,5,41,No,7,0,23.0
SP5774,8,59,Yes,4,7,54.0
SP4428,1,87,No,5,0,61.0
SP9304,6,95,No,5,6,82.0
SP9768,1,44,No,4,8,18.0
SP480,6,42,No,9,7,29.0
SP8997,5,60,No,9,0,45.0
SP9698,6,92,No,4,2,80.0
SP4886,8,71,Yes,5,9,62.0
SP7817,9,51,Yes,6,9,49.0
SP8427,7,50,Yes,7,4,45.0
SP9804,1,80,No,9,9,56.0
SP9147,1,97,No,5,4,72.0
SP7345,6,48,No,6,7,38.0
SP207,6,76,Yes,5,8,68.0
SP4523,6,97,Yes,7,8,87.0
SP8856,8,76,Yes,4,6,71.0
SP6019,1,44,Yes,5,7,17.0
SP7546,2,91,No,8,2,71.0
SP1132,2,65,No,7,8,42.0
SP6113,7,48,No,7,0,40.0
SP8668,9,91,Yes,8,8,92.0
SP647,7,56,Yes,8,7,48.0
SP7587,4,68,No,8,3,51.0
SP2383,6,93,Yes,9,5,84.0
SP7228,3,63,No,4,2,45.0
SP177,1,62,No,8,0,33.0
SP5918,6,53,No,9,8,45.0
SP4936,6,61,Yes,6,1,47.0
SP4771,5,95,Yes,6,0,80.0
SP8294,5,49,No,4,7,33.0
SP5311,2,48,Yes,6,2,23.0
SP5110,2,45,No,4,0,20.0
SP3528,1,56,No,8,2,30.0
SP38,8,57,Yes,6,0,49.0
SP8649,1,44,Yes,8,5,17.0
SP8589,8,70,No,5,5,59.0
SP5822,9,98,Yes,8,9,93.0
SP3501,9,93,No,4,3,92.0
SP9166,7,73,No,4,8,67.0
SP7662,1,88,No,9,8,65.0
SP8066,3,53,Yes,5,1,32.0
SP7848,4,88,Yes,7,6,72.0
SP6630,8,69,No,9,1,64.0
SP1544,8,56,No,9,4,52.0
SP8124,2,80,Yes,4,3,59.0
SP7284,1,69,No,9,5,47.0
SP1422,6,91,No,6,7,83.0
SP1595,5,89,No,5,6,74.0
SP3722,7,99,No,8,7,90.0
SP498,7,45,Yes,9,1,38.0
SP2722,1,52,No,9,2,28.0
SP2169,2,78,Yes,8,0,55.0
SP6466,3,79,No,9,3,60.0
SP8339,5,75,No,4,1,59.0
SP5497,9,76,No,6,2,72.0
SP2646,4,74,Yes,5,5,60.0
SP6968,6,49,Yes,7,7,38.0
SP249,3,94,No,8,4,75.0
SP7965,6,47,No,9,8,36.0
SP5546,5,48,Yes,8,6,33.0
SP5264,8,56,Yes,5,2,45.0
SP618,7,40,Yes,6,4,30.0
SP1070,1,51,Yes,8,0,26.0
SP7155,3,52,Yes,4,7,32.0
SP9886,3,66,Yes,7,3,44.0
SP102,1,78,No,5,1,50.0
SP1893,8,74,No,9,7,70.0
SP451,1,77,Yes,9,9,55.0
SP5162,7,72,Yes,7,3,63.0
SP3614,2,67,Yes,7,3,44.0
SP7539,4,88,No,7,0,70.0
SP738,7,49,Yes,4,5,37.0
SP3878,4,67,No,9,3,53.0
SP4015,7,95,Yes,6,5,85.0
SP8185,9,43,No,4,6,39.0
SP6761,6,78,Yes,6,5,71.0
SP717,5,82,Yes,4,7,67.0
SP2794,6,92,No,7,3,82.0
SP8104,7,62,Yes,4,9,55.0
SP5211,5,85,No,4,8,70.0
SP5485,3,45,No,7,4,21.0
SP908,9,51,No,8,3,47.0
SP7851,8,95,Yes,7,3,92.0
SP7578,2,62,No,4,8,40.0
SP5980,4,74,No,7,4,57.0
SP4064,1,42,Yes,8,4,17.0
SP358,6,98,Yes,9,1,89.0
SP1037,6,62,Yes,8,2,49.0
SP6763,1,53,No,5,9,28.0
SP8737,3,81,Yes,6,9,62.0
SP9766,6,60,Yes,9,3,48.0
SP3033,5,67,Yes,9,0,56.0
SP69,8,98,No,7,9,94.0
SP7694,2,52,No,4,4,28.0
SP6578,7,89,No,7,6,86.0
SP4854,8,95,No,5,0,89.0
SP8903,3,45,Yes,7,4,26.0
SP2576,6,44,Yes,7,7,34.0
SP6098,3,91,Yes,9,8,72.0
SP3603,9,70,No,9,9,67.0
SP4791,4,47,Yes,4,6,25.0
SP3304,5,45,Yes,6,0,28.0
SP9970,3,46,No,7,7,26.0
SP2886,5,62,No,6,1,46.0
SP8802,8,81,Yes,6,1,74.0
SP5605,2,44,Yes,4,8,24.0
SP3063,1,91,No,6,1,63.0
SP8237,1,73,No,8,7,46.0
SP7386,2,94,No,7,5,70.0
SP2663,4,89,No,7,8,72.0
SP2760,8,73,Yes,5,6,70.0
SP7491,5,54,Yes,6,8,38.0
SP3522,4,93,Yes,4,6,77.0
SP1160,7,61,No,5,0,49.0
SP8622,9,89,No,4,7,84.0
SP8097,2,57,No,5,9,35.0
SP1161,3,67,Yes,8,2,49.0
SP4398,9,88,No,8,8,90.0
SP9386,9,81,Yes,6,2,77.0
SP2897,1,48,Yes,7,3,19.0
SP8275,1,59,Yes,8,5,34.0
SP9691,3,91,No,5,7,76.0
SP7515,5,56,No,9,6,42.0
SP308,1,82,Yes,7,3,57.0
SP4383,2,49,No,7,4,25.0
SP5493,4,48,Yes,5,8,32.0
SP4483,4,68,Yes,5,6,50.0
SP1095,9,98,Yes,4,9,96.0
SP8848,3,45,Yes,7,4,24.0
SP586,4,97,Yes,9,7,80.0
SP5305,7,46,No,7,8,35.0
SP6382,9,90,Yes,4,9,88.0
SP1862,8,79,Yes,8,7,73.0
SP8716,3,70,No,5,1,49.0
SP256,3,73,Yes,9,6,52.0
SP8141,7,82,No,6,3,72.0
SP4179,5,48,Yes,7,7,33.0
SP2656,9,64,No,7,5,63.0
SP1802,4,61,No,9,0,43.0
SP1503,2,59,No,7,0,34.0
SP2048,7,74,No,7,1,64.0
SP6459,7,97,No,9,9,94.0
SP3787,3,48,Yes,7,7,27.0
SP7059,2,61,No,5,6,34.0
SP6938,5,42,Yes,4,7,25.0
SP9675,5,69,No,9,9,57.0
SP719,9,52,Yes,5,4,46.0
SP8261,3,94,No,6,3,72.0
SP6942,1,98,Yes,8,6,74.0
SP1976,2,49,No,4,8,24.0
SP1286,5,81,No,8,8,70.0
SP695,9,85,Yes,9,6,85.0
SP3612,5,40,Yes,7,5,26.0
SP6067,2,67,Yes,7,9,44.0
SP9837,3,81,No,8,8,65.0
SP3182,6,49,No,5,7,38.0
SP1055,4,59,Yes,8,4,43.0
SP9329,9,63,Yes,9,6,63.0
SP268,3,83,Yes,4,1,63.0
SP6294,7,90,Yes,4,8,82.0
SP794,8,52,No,8,8,48.0
SP8349,9,43,Yes,9,9,45.0
SP9937,2,60,No,6,6,38.0
SP7496,9,66,Yes,5,3,62.0
SP6014,7,70,No,4,8,61.0
SP7392,9,64,No,9,7,59.0
SP9681,1,86,Yes,9,1,61.0
SP1223,5,66,Yes,6,1,53.0
SP8700,1,42,No,4,7,18.0
SP8613,6,44,No,7,6,30.0
SP1256,2,77,No,7,7,57.0
SP6998,1,50,Yes,6,8,26.0
SP3210,1,58,Yes,6,7,34.0
SP1951,9,79,Yes,5,3,79.0
SP2994,8,88,Yes,5,8,84.0
SP7995,6,93,Yes,5,7,82.0
SP2911,4,40,No,9,9,25.0
SP2615,9,90,Yes,7,5,85.0
SP6489,4,56,Yes,8,3,38.0
SP6875,6,72,Yes,7,5,60.0
SP4768,8,96,No,4,3,90.0
SP535,2,51,No,6,9,27.0
SP9396,1,85,Yes,9,1,58.0
SP6850,1,87,No,6,6,58.0
SP5816,1,94,Yes,6,4,70.0
SP5678,3,85,No,9,2,62.0
SP4822,8,53,No,7,1,46.0
SP7769,3,72,Yes,5,2,52.0
SP8472,8,58,No,7,5,54.0
SP2323,5,62,Yes,7,9,51.0
SP5129,1,96,No,8,7,72.0
SP123,4,58,Yes,7,2,46.0
SP7553,3,87,Yes,8,7,68.0
SP984,7,41,No,7,6,31.0
SP2143,5,84,No,9,6,76.0
SP4415,5,66,Yes,9,7,54.0
SP2466,5,72,No,9,9,60.0
SP5212,2,83,No,7,4,59.0
SP1287,2,81,No,9,4,57.0
SP6384,7,72,Yes,4,6,61.0
SP3246,6,79,Yes,9,9,77.0
SP2850,3,71,Yes,5,0,50.0
SP9226,5,99,Yes,8,3,89.0
SP1998,9,77,No,5,7,70.0
SP6905,8,85,No,5,1,80.0
SP4016,4,87,Yes,8,9,72.0
SP520,6,96,No,6,3,82.0
SP6753,8,67,No,9,9,63.0
SP5187,9,83,Yes,4,2,78.0
SP2160,1,57,No,7,6,31.0
SP3961,5,66,No,7,2,49.0
SP3640,7,41,Yes,6,8,34.0
SP1961,9,54,Yes,4,4,48.0
SP1531,2,43,No,5,6,18.0
SP6981,8,88,No,4,7,82.0
SP3157,8,66,No,4,7,59.0
SP5674,4,64,No,6,1,44.0
SP9811,3,91,No,5,1,69.0
SP9405,1,71,No,9,1,43.0
SP5649,2,93,No,5,3,68.0
SP2274,7,95,Yes,5,6,89.0
SP2078,7,68,No,4,8,56.0
SP2245,2,41,No,8,8,18.0
SP2657,7,46,Yes,6,1,35.0
SP7604,9,92,No,5,2,85.0
SP7692,5,71,Yes,4,6,54.0
SP4723,5,99,No,9,0,87.0
SP4911,6,81,No,9,5,74.0
SP2589,3,69,Yes,6,2,48.0
SP7134,4,67,Yes,7,1,52.0
SP5446,9,92,Yes,9,4,90.0
SP6262,5,63,Yes,7,4,50.0
SP7458,9,63,Yes,4,9,58.0
SP1088,9,96,No,9,3,95.0
SP9239,8,75,No,9,8,75.0
SP448,1,52,Yes,9,6,28.0
SP478,6,78,Yes,5,6,66.0
SP6676,8,66,No,6,7,63.0
SP3418,7,88,Yes,5,6,77.0
SP1574,2,73,Yes,6,6,48.0
SP2896,6,95,No,6,9,82.0
SP2828,8,58,No,6,7,50.0
SP7764,8,79,Yes,6,4,71.0
SP3816,7,92,No,9,1,87.0
SP1238,9,62,No,7,3,59.0
SP8400,7,47,No,8,0,41.0
SP5321,3,63,Yes,5,2,45.0
SP2395,7,56,No,4,0,46.0
SP2575,4,55,Yes,5,8,34.0
SP6679,4,74,Yes,8,6,55.0
SP1085,4,50,Yes,4,5,37.0
SP4479,3,66,No,6,8,44.0
SP7241,2,86,No,9,7,62.0
SP7297,3,89,Yes,5,4,69.0
SP6974,7,48,Yes,6,3,38.0
SP1714,7,53,No,7,3,44.0
SP4387,1,75,Yes,4,1,46.0
SP6537,6,50,No,5,8,36.0
SP7915,2,72,No,4,1,50.0
SP4979,9,57,Yes,8,7,54.0
SP9926,6,90,No,8,4,78.0
SP8797,7,41,No,4,7,31.0
SP9654,4,66,No,8,6,47.0
SP4537,2,66,Yes,5,6,42.0
SP8346,7,90,Yes,6,8,82.0
SP1303,4,74,No,7,3,53.0
SP1536,4,79,No,5,4,61.0
SP7254,3,73,Yes,5,9,52.0
SP4047,9,41,No,8,5,37.0
SP7697,1,78,No,8,5,54.0
SP5645,8,90,No,8,4,83.0
SP5813,8,66,No,5,2,60.0
SP200,4,41,No,5,0,21.0
SP4965,2,63,Yes,4,6,42.0
SP1156,2,75,No,6,0,49.0
SP1491,1,54,No,6,1,27.0
SP7226,7,71,No,4,1,61.0
SP2431,6,95,Yes,6,7,87.0
SP1612,8,86,No,4,8,81.0
SP9807,3,50,No,4,1,26.0
SP8418,6,47,No,4,2,33.0
SP4137,6,44,Yes,4,0,28.0
SP246,4,94,Yes,8,2,73.0
SP1064,2,54,No,8,0,27.0
SP419,5,65,Yes,5,7,50.0
SP631,2,82,Yes,4,8,57.0
SP5996,7,61,Yes,8,0,52.0
SP2820,1,76,No,5,4,48.0
SP4391,6,73,No,7,5,59.0
SP4120,9,51,No,9,0,47.0
SP579,1,71,No,8,9,46.0
SP1509,1,65,No,4,0,34.0
SP3565,5,92,No,8,6,83.0
SP3141,3,46,Yes,6,8,27.0
SP4325,2,54,No,8,8,26.0
SP3275,2,60,No,7,3,35.0
SP9508,9,90,No,6,9,88.0
SP5271,2,88,No,8,6,65.0
SP4595,1,61,Yes,7,6,35.0
SP9463,7,52,No,9,4,47.0
SP5094,9,46,Yes,7,8,42.0
SP7387,3,44,No,4,4,22.0
SP9268,9,58,No,9,1,54.0
SP3679,6,62,Yes,9,0,52.0
SP795,8,64,No,6,8,60.0
SP4958,2,91,Yes,4,3,69.0
SP8954,7,50,No,9,5,42.0
SP1180,3,41,No,9,6,22.0
SP3686,4,48,Yes,9,2,35.0
SP5078,3,88,No,4,4,65.0
SP2746,4,64,No,7,3,44.0
SP205,4,87,No,8,0,69.0
SP8085,8,80,Yes,8,4,75.0
SP5767,1,99,Yes,7,5,73.0
SP8953,7,42,Yes,7,5,34.0
SP5498,1,55,No,9,3,29.0
SP2083,3,86,Yes,4,1,67.0
SP8332,7,93,No,8,4,85.0
SP7008,5,96,Yes,4,6,82.0
SP1861,3,63,Yes,8,6,43.0
SP7516,2,82,Yes,7,9,61.0
SP3305,1,57,No,5,0,30.0
SP3868,1,62,No,9,9,36.0
SP7628,2,71,No,9,3,47.0
SP7031,5,71,No,5,6,55.0
SP8247,9,43,Yes,9,1,38.0
SP6622,8,85,Yes,8,9,84.0
SP2717,8,74,Yes,5,6,71.0
SP6806,2,96,No,9,3,73.0
SP5597,9,89,Yes,9,8,90.0
SP8579,7,74,Yes,5,7,68.0
SP7538,7,92,Yes,8,4,85.0
SP9575,6,56,No,5,9,41.0
SP9619,8,91,Yes,7,6,90.0
SP6702,4,44,No,4,0,25.0
SP2868,2,43,Yes,7,8,26.0
SP5603,1,97,No,5,7,71.0
SP5723,2,40,Yes,5,9,17.0
SP4082,3,84,No,4,6,62.0
SP5615,6,62,Yes,5,8,47.0
SP4838,5,52,No,8,5,39.0
SP5319,6,52,Yes,6,6,43.0
SP2372,5,68,Yes,7,1,54.0
SP3379,8,76,No,7,2,69.0
SP5639,2,60,Yes,8,0,36.0
SP8538,5,80,No,6,6,67.0
SP4743,8,56,No,7,5,50.0
SP3517,4,40,Yes,7,5,24.0
SP8389,7,90,No,8,9,86.0
SP7310,7,49,No,9,1,40.0
SP184,2,58,Yes,7,7,34.0
SP9643,7,90,Yes,6,1,80.0
SP7637,7,73,Yes,8,7,65.0
SP3939,3,84,Yes,7,6,67.0
SP8297,2,86,Yes,4,7,65.0
SP5358,9,48,No,4,3,42.0
SP6047,6,54,No,8,6,45.0
SP3044,7,42,Yes,6,8,35.0
SP4434,7,74,No,8,1,65.0
SP1661,4,83,Yes,4,6,64.0
SP716,9,95,Yes,4,5,93.0
SP7780,1,90,No,5,0,60.0
SP8317,8,93,No,7,1,89.0
SP9202,4,95,No,9,6,79.0
SP7277,2,80,Yes,4,4,57.0
SP1117,4,76,No,7,2,58.0
SP6575,7,47,Yes,7,5,34.0
SP1877,6,61,No,5,5,46.0
SP3216,1,70,Yes,8,9,45.0
SP9764,1,68,No,5,5,37.0
SP8200,4,58,No,6,0,40.0
SP380,2,88,No,5,1,64.0
SP5820,7,74,Yes,7,4,66.0
SP6929,2,49,Yes,8,7,28.0
SP7493,2,81,No,4,6,59.0
SP8139,2,42,Yes,4,7,19.0
SP6391,2,69,Yes,5,7,45.0
SP8008,6,80,Yes,4,7,67.0
SP9505,5,43,Yes,6,1,28.0
SP7230,1,80,No,4,8,57.0
SP1871,3,69,Yes,4,4,47.0
SP401,5,94,Yes,7,8,79.0
SP2248,9,90,No,9,1,87.0
SP1810,5,67,No,8,4,53.0
SP6085,8,83,No,6,0,79.0
SP5731,7,70,No,5,9,61.0
SP7775,5,60,No,8,4,47.0
SP2031,4,66,Yes,4,8,48.0
SP385,3,59,No,8,4,42.0
SP5779,6,85,No,4,0,66.0
SP8717,8,81,Yes,9,3,77.0
SP6842,1,50,Yes,5,7,24.0
SP3446,4,76,No,4,1,57.0
SP1113,6,83,No,4,3,71.0
SP1924,2,54,No,5,9,30.0
SP6246,5,99,Yes,7,4,89.0
SP1906,9,74,Yes,7,6,72.0
SP3571,8,75,Yes,5,4,73.0
SP3394,9,50,Yes,6,2,46.0
SP7976,1,58,No,4,6,33.0
SP5105,2,92,No,6,4,69.0
SP6597,9,50,No,5,8,45.0
SP5787,6,89,Yes,8,9,78.0
SP1904,1,92,No,9,5,70.0
SP2989,3,76,No,9,9,57.0
SP1306,2,77,Yes,9,6,56.0
SP3793,2,76,Yes,8,7,57.0
SP2138,3,66,Yes,6,9,43.0
SP8144,8,65,No,4,4,55.0
SP6482,3,80,Yes,9,6,64.0
SP3338,2,54,Yes,6,9,28.0
SP1167,1,92,No,8,0,67.0
SP3654,8,52,No,5,0,47.0
SP3540,1,99,No,8,1,75.0
SP5992,5,72,Yes,8,1,58.0
SP53,8,74,Yes,8,1,65.0
SP3932,4,93,Yes,8,8,80.0
SP757,5,89,Yes,6,7,77.0
SP8883,6,91,Yes,4,3,78.0
SP3449,8,75,Yes,5,2,69.0
SP2499,7,92,No,4,2,81.0
SP7989,6,42,No,6,0,29.0
SP2982,3,67,Yes,6,0,48.0
SP7946,3,82,Yes,8,3,63.0
SP651,8,78,No,8,7,72.0
SP62,4,89,Yes,7,1,72.0
SP4128,6,91,Yes,8,9,83.0
SP3903,4,72,Yes,8,7,59.0
SP3193,6,76,Yes,5,7,66.0
SP4827,9,73,Yes,4,5,68.0
SP5637,6,89,Yes,5,2,77.0
SP8419,1,89,Yes,9,9,65.0
SP1526,8,93,No,8,3,86.0
SP1341,4,90,No,5,9,71.0
SP8195,4,58,Yes,4,7,39.0
SP4284,6,81,No,9,9,75.0
SP3037,5,95,No,8,8,82.0
SP6540,6,72,No,5,4,58.0
SP8276,3,64,No,5,3,45.0
SP7415,6,77,No,7,0,66.0
SP8340,6,67,No,8,5,54.0
SP9241,4,92,Yes,4,7,75.0
SP5339,7,72,No,7,2,62.0
SP6710,1,46,No,6,6,20.0
SP1769,5,43,Yes,6,4,31.0
SP7476,7,56,No,9,8,47.0
SP2622,9,70,No,6,5,66.0
SP819,8,48,Yes,7,2,44.0
SP6805,2,58,Yes,8,4,34.0
SP1738,7,42,No,6,3,28.0
SP2045,1,96,No,6,9,73.0
SP9251,2,77,No,7,9,52.0
SP6251,8,65,No,5,3,58.0
SP3849,2,87,No,6,6,62.0
SP2251,3,47,Yes,4,7,27.0
SP5298,9,92,No,8,5,90.0
SP1854,5,86,Yes,4,7,72.0
SP627,3,53,No,6,2,31.0
SP7672,3,63,No,6,9,45.0
SP2685,3,57,Yes,5,7,38.0
SP8077,7,88,Yes,7,5,81.0
SP2605,6,56,No,7,8,44.0
SP7684,1,59,Yes,7,4,31.0
SP1747,4,70,Yes,6,8,53.0
SP7487,3,75,No,6,9,54.0
SP3200,8,66,No,6,9,61.0
SP1907,3,65,Yes,8,0,43.0
SP6785,2,81,No,8,7,60.0
SP3556,2,54,No,7,0,30.0
SP6221,1,55,Yes,5,7,28.0
SP630,5,99,Yes,8,9,91.0
SP1332,9,91,No,5,8,86.0
SP6535,4,69,No,9,4,57.0
SP1246,4,46,Yes,9,0,32.0
SP5829,8,81,No,9,6,74.0
SP8913,3,94,No,4,6,75.0
SP8453,8,89,No,8,7,82.0
SP9131,9,98,No,8,5,96.0
SP7404,2,57,Yes,7,1,35.0
SP9836,2,86,Yes,8,0,61.0
SP7857,7,89,No,9,4,85.0
SP2041,1,41,Yes,6,7,16.0
SP1993,3,71,No,6,6,52.0
SP6725,1,49,No,4,0,19.0
SP7444,7,45,Yes,6,6,38.0
SP4515,1,50,Yes,4,2,21.0
SP9528,9,44,Yes,8,9,44.0
SP1385,4,97,Yes,7,6,81.0
SP2425,5,69,Yes,8,5,55.0
SP6212,3,82,No,8,3,64.0
SP3361,2,76,No,9,5,54.0
SP1999,4,86,No,8,9,68.0
SP8766,4,77,No,7,8,57.0
SP3375,4,79,No,9,0,62.0
SP7351,8,92,No,5,0,83.0
SP4008,5,75,No,7,0,63.0
SP7490,2,55,Yes,8,7,32.0
SP5209,3,98,No,4,3,79.0
SP1120,5,45,Yes,5,6,31.0
SP1151,2,72,Yes,8,3,50.0
SP3974,5,56,Yes,9,6,46.0
SP5214,6,76,Yes,6,9,65.0
SP4805,6,49,Yes,8,9,41.0
SP7505,1,81,Yes,6,1,56.0
SP612,3,70,Yes,4,2,50.0
SP1636,5,52,Yes,8,0,35.0
SP3197,7,86,Yes,9,9,84.0
SP7899,1,83,No,7,3,56.0
SP2124,5,60,Yes,9,3,48.0
SP6894,1,73,Yes,7,3,49.0
SP678,4,44,Yes,6,7,28.0
SP8860,1,41,Yes,5,4,18.0
SP5749,9,87,Yes,8,8,84.0
SP5542,4,50,Yes,6,9,34.0
SP360,1,71,Yes,9,6,51.0
SP8796,7,40,No,6,3,31.0
SP6786,2,76,Yes,5,7,53.0
SP4597,8,55,Yes,5,9,47.0
SP1372,5,86,Yes,8,7,77.0
SP1155,3,67,No,4,3,45.0
SP9727,6,68,Yes,9,7,61.0
SP7410,1,46,No,8,8,24.0
SP2701,5,66,No,7,1,49.0
SP41,4,82,No,9,8,67.0
SP2612,9,61,No,4,5,56.0
SP8438,6,99,No,9,4,90.0
SP3860,5,54,Yes,6,6,38.0
SP1003,3,54,Yes,7,7,29.0
SP4213,7,83,No,5,7,74.0
SP7623,3,93,Yes,7,1,73.0
SP2338,3,70,No,8,1,47.0
SP1490,5,53,Yes,6,3,41.0
SP4253,4,62,Yes,4,6,43.0
SP884,2,97,Yes,5,5,74.0
SP5985,6,54,Yes,6,6,43.0
SP4553,4,65,No,4,0,45.0
SP9899,9,67,No,4,4,57.0
SP6129,1,52,Yes,6,3,27.0
SP892,8,63,Yes,4,3,60.0
SP6865,7,61,Yes,6,8,54.0
SP6285,9,69,Yes,6,3,65.0
SP2638,5,57,No,7,7,44.0
SP4102,5,96,Yes,6,7,79.0
SP7349,3,77,Yes,6,9,56.0
SP3685,1,48,Yes,6,9,24.0
SP5922,3,53,No,6,5,31.0
SP5349,3,90,Yes,8,3,70.0
SP1528,7,93,No,6,0,85.0
SP6043,8,76,No,6,0,67.0
SP2273,1,84,Yes,5,0,56.0
SP3534,1,51,No,9,0,25.0
SP582,3,60,No,8,1,39.0
SP5217,8,69,Yes,9,4,64.0
SP1165,7,41,Yes,7,8,34.0
SP3861,9,54,Yes,5,7,50.0
SP4745,4,88,Yes,9,0,74.0
SP8681,2,40,No,9,2,15.0
SP4497,7,77,Yes,4,7,69.0
SP6317,1,52,Yes,4,4,25.0
SP5042,3,46,Yes,4,6,24.0
SP5736,1,87,Yes,5,2,59.0
SP9755,6,74,No,5,9,64.0
SP2189,2,59,Yes,6,2,35.0
SP8202,3,63,No,5,2,38.0
SP5803,3,89,Yes,5,8,68.0
SP2497,8,76,No,6,8,66.0
SP646,6,63,No,8,0,52.0
SP2596,1,47,Yes,8,8,23.0
SP3560,2,46,No,4,7,22.0
SP2385,9,71,Yes,6,5,66.0
SP2043,4,89,No,6,3,71.0
SP5227,5,77,Yes,9,6,69.0
SP4131,8,85,Yes,8,7,83.0
SP5588,3,71,No,5,1,50.0
SP3159,6,44,No,8,4,33.0
SP7055,9,46,Yes,7,8,44.0
SP1780,1,63,Yes,7,8,34.0
SP5667,8,46,Yes,7,7,42.0
SP353,9,41,No,9,4,35.0
SP1572,1,87,Yes,9,4,64.0
SP9052,7,83,No,6,0,73.0
SP9454,6,98,No,4,0,85.0
SP9085,4,90,Yes,8,4,77.0
SP841,6,49,Yes,5,1,35.0
SP9062,2,60,Yes,9,4,41.0
SP5536,5,81,Yes,5,9,66.0
SP6880,8,52,No,9,4,47.0
SP5299,6,73,Yes,7,0,60.0
SP6163,7,44,No,6,6,35.0
SP807,8,62,No,5,6,56.0
SP5428,3,78,No,7,3,59.0
SP95,5,78,Yes,6,6,65.0
